Date,Symbol,Client_Name,Buy_Sell,Quantity,Price,Source
2024-11-04,TRENT,DODONA HOLDINGS LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-04,TRENT,SIDDHARTHA YOG,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,MOTILALOFS,MOTILAL OSWAL FOUNDATION,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-05,MOTILALOFS,TATA MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,AMBUJACEM,PI OPPORTUNITIES AIF V LLP,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,AMBUJACEM,PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,DIVISLAB,PI OPPORTUNITIES AIF V LLP,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,DIVISLAB,PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,DODLA,BK LEGACY TRUST,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,DODLA,VENKAT KRISHNA REDDY BUSIREDDY,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,GODREJCP,PI OPPORTUNITIES AIF V LLP,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,GODREJCP,PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,HDFCBANK,PI OPPORTUNITIES AIF V LLP,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,HDFCBANK,PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,ICICIBANK,PI OPPORTUNITIES AIF V LLP,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,ICICIBANK,PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,UNITDSPR,PI OPPORTUNITIES AIF V LLP,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-06,UNITDSPR,PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-07,BAJAJHLDNG,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-07,BAJAJHLDNG,CITIGROUP GLOBAL MARKETS SINGAPORE PTE LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-07,HDFCBANK,PI OPPORTUNITIES AIF V LLP,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-07,HDFCBANK,PRAZIM TRADING AND INVESTMENT COMPANY PRIVATE LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-07,JIOFIN,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-07,JIOFIN,CITIGROUP GLOBAL MARKETS SINGAPORE PTE LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-07,SONACOMS,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-07,SONACOMS,CITIGROUP GLOBAL MARKETS SINGAPORE PTE LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-07,TRENT,DODONA HOLDINGS LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-07,TRENT,SIDDHARTHA YOG,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-08,WIPRO,PRAZIM TRADERS,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-08,WIPRO,PRAZIM TRADING AND INVESTMENT COMPANY PVT LTD,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-08,WIPRO,ZASH TRADERS,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-13,TRENT,DODONA HOLDINGS LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-13,TRENT,SIDDHARTHA YOG,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-14,RKFORGE,SOCIETE GENERALE - ODI,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-14,RKFORGE,THINK INDIA OPPORTUNITIES MASTER FUND LP,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-18,MEDPLUS,FRANKLIN TEMPLETON MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-18,MEDPLUS,INVESCO MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-18,MEDPLUS,KOTAK MAHINDRA MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-18,MEDPLUS,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-18,MEDPLUS,PI OPPORTUNITIES FUND - I,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-18,MEDPLUS,SBI MUTUAL FUND,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-19,SASTASUNDR,LUV-KUSH PROJECTS LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-19,SASTASUNDR,MICROSEC VISION TRUST ONE,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-19,TRENT,DODONA HOLDINGS LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-19,TRENT,SIDDHARTHA YOG,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-22,SHREEPUSHK,INDIA MAX INVESTMENT FUND LTD,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-11-22,SHREEPUSHK,MAPLE LEAF TRADING AND SERVICES LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,ABU DHABI INVESTMENT AUTHORITY,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,ADITYA BIRLA SUN LIFE MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,AXIS MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,BANDHAN MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,BNP PARIBAS FINANCIAL MARKETS,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,BOFA SECURITIES EUROPE SA,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,BOFA SECURITIES EUROPE SA - ODI,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,CANARA HSBC LIFE INSURANCE COMPANY LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED (ODI),BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,CITIGROUP GLOBAL MARKETS MAURITIUS PVT LTD,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,COPTHALL MAURITIUS INVESTMENT LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,COPTHALL MAURITIUS INVESTMENT LTD,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,DENDANA INVESTMENTS MAURITIUS LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,DSP INDIA FUND INDIA LONG SHORT STRATEGY FUND WITH CASH MANAGEMENT OPTION,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,DSP MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,EDELWEISS LIFE INSURANCE COMPANY LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,GOLDMAN SACHS (SINGAPORE) PTE,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,GOLDMAN SACHS INVESTMENTS (MAURITIUS) I LIMITED  SHORT TERM,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,GOVERNMENT OF SINGAPORE,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,ICICI PRUDENTIAL MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,INDIA ACORN ICAV A/C AIO,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,KOTAK MAHINDRA MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,MONETARY AUTHORITY OF SINGAPORE,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,MOTILAL OSWAL MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,NORGES BANK ON ACCOUNT OF THE GOVERNMENT PENSION FUND GLOBAL,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,RUMANA HAMIED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,SAMINA HAMIED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,SBI LIFE INSURANCE COMPANY LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,SOCIETE GENERALE,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,TATA AIA LIFE INSURANCE COMPANY LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-02,CIPLA,UBS PRINCIPAL CAPITAL ASIA LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-04,RATNAMANI,NALANDA INDIA FUND LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-04,RATNAMANI,SBI MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-04,RATNAMANI,TATA MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,AADI FINANCIAL ADVISORS LLP,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,BLACKSTONE AQUA MASTER SUB-FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,BLUE DAIMOND PROPERTIES PRIVATE LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,BOFA SECURITIES EUROPE SA,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,BOFA SECURITIES EUROPE SA -FPI,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,COPTHALL MAURITIUS INVESTMENT LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,GHISALLO MASTER FUND LP,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,JUPITER INDIA FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,KADENSA MASTER FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,KOTAK MAHINDRA MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,MORGAN STANLEY ASIA SINGAPORE PTE -ODI,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,NATIONAL PENSION SYSTEM NPS TRUST,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,NATIONAL PENSION SYSTEM NPS TRUST,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,NATIONAL PENSION SYSTEM NPS TRUST,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,OMEGA TELECOM HOLDINGS PRIVATE LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,OPTIMAS GLOBAL ALPHA FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,QRT MASTER FUND SPC -TORUS FUND SP,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,QUBE MASTER FUND LTD,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,SOCIETE GENERALE - ODI,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,SUSQUEHANNA PACIFIC PTY LTD,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,THE JUPITER GLOBAL FUND-JUPITER INDIA SELECT,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,USHA MARTIN TELEMATICS LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,VANGUARD ASIA EX JAPAN SHARES INDEX FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,VANGUARD EMERGING MARKETS STOCK INDEX FUND A SERIES OF VIEIF,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,VANGUARD ESG INTERNATIONAL STOCK ETF,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,VANGUARD FIDUCIARY TRUST COMPANY INSTITUTIONAL TOTAL INTERNATIONAL STOCK MARKET INDEX TRUST II,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,VANGUARD FTSE ALL-WORLD EX-US INDEX FUND  A SERIES OF VANGUARD INTERNATIONAL EQUITY INDEX FUNDS,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,VANGUARD FUNDS PLC / VANGUARD ESG GLOBAL ALL CAP UCITS ETF,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,VANGUARD FUNDS PLC VANGUARD ESG EMERGING MARKETS ALL CAP UCITS ETF,BUY,368.0,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,VANGUARD FUNDS PUBLIC LIMITED COMPANY VANGUARD FTSE ALL WORLD ETF,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,VANGUARD FUNDS PUBLIC LTD COMPANY VANGUARD FTSE EMERGING MKTS UCITS ETF,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,VANGUARD INVESTMENT SERIES PLC - VANGUARD ESG EMERGING MARKETS ALL CAP EQUITY INDEX FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,VANGUARD INVESTMENTS FUNDS ICVC - VANGUARD FTSE GLOBAL ALL CAP INDEX FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,VANGUARD TOTAL INTERNATIONAL STOCK INDEX FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,VANGUARD TOTAL WORLD STOCK INDEXFUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-05,INDUSTOWER,VFTC - INSTITUTIONAL TOTAL INTERNATIONAL STOCK MARKET INDEX TRUST,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,ADITYA BIRLA SUN LIFE INSURANCE COMPANY LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,ASHOKA WHITEOAK ICAV - ASHOKA WHITEOAK INDIA OPPORTUNITIES FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,AXIS MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,BISQUE LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,BISQUE LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,CANARA ROBECO MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,GOLDMAN SACHS FUNDS - GOLDMAN SACHS INDIA EQUITY PORTFOLIO,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,GS INDIA EQUITY,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,HSHK ASIAN SMALL CAPS,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,INDIA ACORN FUND LTD,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,INVESCO MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,MEDIOLANUM BEST BRANDS- MEDIOLANUM INDIA OPPORTUNITIES,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,NEW YORK STATE TEACHERS RETIREMENT SYSTEM,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,NIPPON INDIA MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,PEAK XV PARTNERS INVESTMENTS V,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,SOCIETE GENERALE,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,SOCIETE GENERALE,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,UNION MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,UTI INDIA DYNAMIC EQUITY FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,UTI MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-11,AWFIS,WHITEOAK CAPITAL MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-16,MANGLMCEM,PILANI INVESTMENT AND INDUSTRIES CORPORATION LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-16,MANGLMCEM,VIDULA CONSULTANCY SERVICES LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-18,EDELWEISS,EDELWEISS EMPLOYEES WELFARE TRUST,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-18,EDELWEISS,SETU SECURITIES PVT LTD,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-18,SHOPERSTOP,360 ONE ASSET MANAGEMENT LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-18,SHOPERSTOP,360 ONE EQUITY OPPORTUNITY FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-18,SHOPERSTOP,360 ONE PRIME LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-18,SHOPERSTOP,AMAZON.COM NV INVESTMENT HOLDINGS LLC,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-18,SHOPERSTOP,KOTAK MAHINDRA MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-18,SHOPERSTOP,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-18,SHOPERSTOP,TATA MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-18,SHOPERSTOP,TURNAROUND OPPORTUNITIES FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-19,GODREJIND,AREL ENTERPRISE LLP,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-19,GODREJIND,GODREJ SEEDS AND GENETICS LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,AMBER,ASCENT INVESTMENT HOLDINGS PTE.LIMITED.,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,AMBER,AXIS MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,AMBER,CITIGROUP GLOBAL MARKETS MAURITIUS PRIVATE LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,AMBER,GOLDMAN SACHS INVESTMENTS MAURITIUS  I LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,AMBER,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,AMBER,MAHINDRA MANULIFE MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,AMBER,TATA AIA LIFE INSURANCE COMPANY LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,DIAMONDYD,ALTITUDE INVESTMENT FUND PCC - CELL 1,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,DIAMONDYD,KOTAK MAHINDRA MUTUAL FUND,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,DIAMONDYD,RASHI FINCORP LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,GRANULES,ADITYA BIRLA SUN LIFE MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,GRANULES,BANDHAN MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,GRANULES,BANDHAN MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,GRANULES,DENDANA INVEST MAURITIUS LTD,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,GRANULES,EDELWEISS MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,GRANULES,FIDELITY FUNDS.- INDIA FOCUS FUND,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,GRANULES,FIDELITY INDIA FUND,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,GRANULES,ITI MUTUAL FUND,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,GRANULES,KOTAK MAHINDRA LIFE INSURANCE COMPANY LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,GRANULES,PAULOMI KETANKUMAR DOSHI,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-20,GRANULES,SBI LIFE INSURANCE COMPANY LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-27,STARCEMENT,RAHUL CHAMARIA,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-27,STARCEMENT,RAJENDRA CHAMARIA,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-27,STARCEMENT,RENU CHAMARIA,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-27,STARCEMENT,SACHIN CHAMARIA,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-27,STARCEMENT,ULTRATECH CEMENT LIMITED,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-27,UPL,NERKA CHEMICALS PRIVATE LTD,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-27,UPL,UNIPHOS ENTERPRISES LTD,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-30,KOTHARIPRO,ARTI  KOTHARI,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-30,KOTHARIPRO,DHAM SECURITIES PRIVATE LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-31,WANBURY,BHATIA SURESH,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2024-12-31,WANBURY,SURESH BHATIA,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2025-01-23,360ONE,UBS AG,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2025-01-23,360ONE,UBS PRINCIPAL CAPITAL ASIA LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2025-01-23,AMIORG,UBS AG,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2025-01-23,AMIORG,UBS PRINCIPAL CAPITAL ASIA LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2025-01-23,BANKBARODA,UBS AG,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2025-01-23,BANKBARODA,UBS PRINCIPAL CAPITAL ASIA LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2025-01-23,BLUESTARCO,UBS AG,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2025-01-23,BLUESTARCO,UBS PRINCIPAL CAPITAL ASIA LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2025-01-23,COFORGE,UBS AG,BUY,,,Block-Deals-03-11-2024-to-03-11-2025.csv
2025-01-23,COFORGE,UBS PRINCIPAL CAPITAL ASIA LIMITED,SELL,,,Block-Deals-03-11-2024-to-03-11-2025.csv
